isDGA,domain,host,subclass
dga,1kwc2149ds6l02gchp01im15nn,1kwc2149ds6l02gchp01im15nn.net,newgoz
dga,ptcgqjuitpcf,ptcgqjuitpcf.ru,cryptolocker
dga,sxhnmsgihary,sxhnmsgihary.net,cryptolocker
dga,nmdjgiuyypuvp,nmdjgiuyypuvp.org,cryptolocker
dga,569f9s1sexgrs55yfyz1v37gnx,569f9s1sexgrs55yfyz1v37gnx.net,newgoz
dga,hesgizytothipjgyvuucamgqkf,hesgizytothipjgyvuucamgqkf.ru,goz
dga,gfhnaphjwuyjsqajffumj,gfhnaphjwuyjsqajffumj.ac,necurs
dga,bikdncvvyejjhmh,bikdncvvyejjhmh.ru,cryptolocker
dga,vercdbftryli,vercdbftryli.ru,cryptolocker
dga,agkioovkxjhkiq,agkioovkxjhkiq.ru,cryptolocker
dga,8501ef78ef5d92d3705073acdaec9db4,8501ef78ef5d92d3705073acdaec9db4.info,bamital
dga,1da304365260bfd026366259636ebe54,1da304365260bfd026366259636ebe54.org,bamital
dga,cb176c22cbe89dc86f904cf784aac47d,cb176c22cbe89dc86f904cf784aac47d.cz.cc,bamital
dga,1v2sbqknyp7j344yyy6ezg8c,1v2sbqknyp7j344yyy6ezg8c.biz,newgoz
dga,songfine,songfine.net,nivdort
dga,qfvyojfhiusnr,qfvyojfhiusnr.ru,cryptolocker
dga,52b5de445b70b80e4528865d5cc89e80,52b5de445b70b80e4528865d5cc89e80.org,bamital
dga,0a134b8c4e64f2b6b14991a6667567a1,0a134b8c4e64f2b6b14991a6667567a1.info,bamital
dga,1erxnpt12cucd3wzqupt19lra10,1erxnpt12cucd3wzqupt19lra10.biz,gameoverdga
dga,1c2d320abae817e5316acd8f6149b7b5,1c2d320abae817e5316acd8f6149b7b5.cz.cc,bamital
dga,sorgydheqsgulpkrxovgbaqauin,sorgydheqsgulpkrxovgbaqauin.ru,goz
dga,wbewvajmgqkquvp,wbewvajmgqkquvp.ru,cryptolocker
dga,fa71383ea4e6d9e799ddce859bff52eb,fa71383ea4e6d9e799ddce859bff52eb.cz.cc,bamital
dga,rccukfsnjwshqe,rccukfsnjwshqe.ru,cryptolocker
dga,jkchwuqnggdwpi,jkchwuqnggdwpi.ru,cryptolocker
dga,ot1bi81p36ymo1en46c1fo6e53,ot1bi81p36ymo1en46c1fo6e53.com,newgoz
dga,hillstate,hillstate.net,nivdort
dga,kfujgeorfxat,kfujgeorfxat.ru,cryptolocker
dga,mwwruqpqkpgygsmv,mwwruqpqkpgygsmv.mu,necurs
dga,4c85cb4b3825ca8090e6fac0ad831ee2,4c85cb4b3825ca8090e6fac0ad831ee2.co.cc,bamital
dga,19hl3y6qkj0r0175bi6u1n3vu8t,19hl3y6qkj0r0175bi6u1n3vu8t.org,gameoverdga
dga,1hin4w617zfiot14ytezlzmk650,1hin4w617zfiot14ytezlzmk650.net,gameoverdga
dga,rwdfdlgypmai,rwdfdlgypmai.ru,cryptolocker
dga,kgdladwydwqa,kgdladwydwqa.ru,cryptolocker
dga,nicudjfyfyuxblj,nicudjfyfyuxblj.ru,cryptolocker
dga,kfhtkpjqkprodhv,kfhtkpjqkprodhv.ru,cryptolocker
dga,trdeljbgoulup,trdeljbgoulup.ru,cryptolocker
dga,jggbxapbtjofac,jggbxapbtjofac.biz,cryptolocker
dga,unesqiemeycc,unesqiemeycc.ru,cryptolocker
dga,pxkmbxcnfguguuwzlqksgvctscy,pxkmbxcnfguguuwzlqksgvctscy.ru,goz
dga,arivereach,arivereach.net,nivdort
dga,c060d79a2fff020b23216d20b154b6f2,c060d79a2fff020b23216d20b154b6f2.org,bamital
dga,1uxmtka1s10vjm6ebbif1ecplxj,1uxmtka1s10vjm6ebbif1ecplxj.biz,gameoverdga
dga,gchruimsfepd,gchruimsfepd.ru,cryptolocker
dga,nrsbvbgbvxkim,nrsbvbgbvxkim.co.uk,cryptolocker
dga,sqhiokitpnnqwsn,sqhiokitpnnqwsn.com,cryptolocker
dga,douxjdbtfgtqqnl,douxjdbtfgtqqnl.info,cryptolocker
dga,moverain,moverain.net,nivdort
dga,eclcckjyhlxryb,eclcckjyhlxryb.org,cryptolocker
dga,emgoxcdmxrzlrcugxkytwsoj,emgoxcdmxrzlrcugxkytwsoj.ru,goz
dga,signtell,signtell.net,nivdort
dga,1xndaqv1vj2z6x1puvsrzfakt36,1xndaqv1vj2z6x1puvsrzfakt36.biz,newgoz
dga,173l95u2aw9091yms0tr15xctd3,173l95u2aw9091yms0tr15xctd3.biz,gameoverdga
dga,vlwxmomnvjmtb,vlwxmomnvjmtb.ru,cryptolocker
dga,12hnsn5dliugy1bnqu7fv1m4qp,12hnsn5dliugy1bnqu7fv1m4qp.net,gameoverdga
dga,dmusweeddqbg,dmusweeddqbg.ru,cryptolocker
dga,triedcroud,triedcroud.net,nivdort
dga,fyoibypghqfemln,fyoibypghqfemln.ru,cryptolocker
dga,ohmdnecoreixkby,ohmdnecoreixkby.ru,cryptolocker
dga,1uie4d4sc3hhyiq04jekkldos,1uie4d4sc3hhyiq04jekkldos.org,gameoverdga
dga,nweromnumfwvn,nweromnumfwvn.ru,cryptolocker
dga,7ddb545c1c4a6d574b489140da8d74a7,7ddb545c1c4a6d574b489140da8d74a7.co.cc,bamital
dga,spokerest,spokerest.net,nivdort
dga,kturfufxnydr,kturfufxnydr.ru,cryptolocker
dga,exltyitgwvgo,exltyitgwvgo.biz,cryptolocker
dga,headcould,headcould.net,nivdort
dga,xifvtgmmxhdla,xifvtgmmxhdla.info,cryptolocker
dga,etpa6m16vmco5l2seq1rmqewe,etpa6m16vmco5l2seq1rmqewe.net,gameoverdga
