isDGA,domain,host,subclass
dga,prsmaakivhgwf,prsmaakivhgwf.ru,cryptolocker
dga,e10w5r15k9vksnuql51ul8q7q,e10w5r15k9vksnuql51ul8q7q.net,gameoverdga
dga,sinddsqtqdbk,sinddsqtqdbk.ru,cryptolocker
dga,h7rfh2kghpnx1ta7kmv1nttg0n,h7rfh2kghpnx1ta7kmv1nttg0n.org,gameoverdga
dga,gqifscfjnsbc,gqifscfjnsbc.net,cryptolocker
dga,1m8zjh5u48uiqz4ncxg3hexbv,1m8zjh5u48uiqz4ncxg3hexbv.com,gameoverdga
dga,sodtvfupmgpjb,sodtvfupmgpjb.ru,cryptolocker
dga,1iw7m2e1jk1xmdcytwcm10bbszc,1iw7m2e1jk1xmdcytwcm10bbszc.biz,newgoz
dga,xulgigkar0b315dhdgcmm8jk2,xulgigkar0b315dhdgcmm8jk2.net,gameoverdga
dga,wngasymnrmmpy,wngasymnrmmpy.ru,cryptolocker
dga,bebawohsgqwcxhupruwrnbwkxs,bebawohsgqwcxhupruwrnbwkxs.ru,goz
dga,takencount,takencount.net,nivdort
dga,7af2f875dfe0d36bef4732d52b537c55,7af2f875dfe0d36bef4732d52b537c55.org,bamital
dga,34xm076ac166umlgv71yo2ag5,34xm076ac166umlgv71yo2ag5.org,gameoverdga
dga,lvkzkqytmrduobircujvfqydon,lvkzkqytmrduobircujvfqydon.ru,goz
dga,17g66qyo5ntr0iohra24nwon5,17g66qyo5ntr0iohra24nwon5.net,newgoz
dga,ufmnjlkdauhrwfvbvii,ufmnjlkdauhrwfvbvii.com,necurs
dga,faironly,faironly.net,nivdort
dga,adfataeu,adfataeu.cm,necurs
dga,onombpqbucwv,onombpqbucwv.ru,cryptolocker
dga,vkkvqcixobpscjr,vkkvqcixobpscjr.com,cryptolocker
dga,xxudclnksxxw,xxudclnksxxw.ru,cryptolocker
dga,hmveanvukamuctobadgalxscrouw,hmveanvukamuctobadgalxscrouw.ru,goz
dga,ospuovpxlkmdxrr,ospuovpxlkmdxrr.com,cryptolocker
dga,nexyowcpsrxk,nexyowcpsrxk.ru,cryptolocker
dga,kyjcqkvqulkoy,kyjcqkvqulkoy.mn,necurs
dga,wrdwqgonjuqrnc,wrdwqgonjuqrnc.ru,cryptolocker
dga,takenought,takenought.net,nivdort
dga,esnacmogsbyxayr,esnacmogsbyxayr.ru,cryptolocker
dga,ht5y95kbuiq6x10oua1vwjl7v,ht5y95kbuiq6x10oua1vwjl7v.org,newgoz
dga,zcb236bc551c10vaztar58w3v,zcb236bc551c10vaztar58w3v.com,gameoverdga
dga,zv96031bcsdgx1eqoxl6rjrmtg,zv96031bcsdgx1eqoxl6rjrmtg.biz,gameoverdga
dga,humanhappy,humanhappy.net,nivdort
dga,nnbrdtdbtgsdayrw,nnbrdtdbtgsdayrw.ac,necurs
dga,ur3nnet4ao8ofcg3a81sl0jc3,ur3nnet4ao8ofcg3a81sl0jc3.org,newgoz
dga,tavtcctn,tavtcctn.bit,necurs
